Secondary 3 muon ke=6523.54 (x,y,z)= 31.6534 71.5783 0 (m)
Secondary 0 muon ke=361.595 (x,y,z)= 12.8033 94.4383 0 (m)
Secondary 0 muon ke=1138.89 (x,y,z)= -35.6541 8.39971 0 (m)
Secondary 0 muon ke=2996.25 (x,y,z)= -106.267 25.9407 0 (m)
Secondary 1 muon ke=19461.5 (x,y,z)= 14.9364 -47.3725 0 (m)
Secondary 1 muon ke=7036.39 (x,y,z)= -124.229 48.169 0 (m)
Secondary 2 muon ke=2403.52 (x,y,z)= -0.0778174 136.744 0 (m)
Secondary 4 muon ke=713.848 (x,y,z)= -6.69688 60.2902 0 (m)
Secondary 0 muon ke=7665.55 (x,y,z)= 97.9447 -15.0645 0 (m)
Secondary 1 muon ke=1704.4 (x,y,z)= 83.5714 -49.3225 0 (m)
Secondary 2 muon ke=3722.43 (x,y,z)= 140.305 -88.1306 0 (m)
Secondary 3 muon ke=1494.07 (x,y,z)= -41.5133 116.099 0 (m)
Secondary 4 muon ke=996.605 (x,y,z)= 18.4794 -31.9738 0 (m)
Secondary 1 muon ke=3730.86 (x,y,z)= -0.334157 -62.3959 0 (m)
Secondary 0 muon ke=2860.75 (x,y,z)= -63.6135 -97.7616 0 (m)
Secondary 0 muon ke=18499.3 (x,y,z)= -98.256 8.72013 0 (m)
Secondary 0 muon ke=286.514 (x,y,z)= 25.6386 -75.1945 0 (m)
Secondary 0 muon ke=1193.62 (x,y,z)= 97.2398 -81.9875 0 (m)
Secondary 1 muon ke=2635.53 (x,y,z)= 101.36 12.7026 0 (m)
Secondary 0 muon ke=2980.71 (x,y,z)= 18.9463 61.9015 0 (m)
Secondary 2 muon ke=2579.9 (x,y,z)= -2.25671 -148.727 0 (m)
Secondary 3 muon ke=3218.16 (x,y,z)= 140.067 -71.322 0 (m)
Secondary 4 muon ke=2720.31 (x,y,z)= -61.2973 -67.7698 0 (m)
Secondary 5 muon ke=275.331 (x,y,z)= -102.614 -129.182 0 (m)
Secondary 7 muon ke=1666.46 (x,y,z)= -30.2527 102.916 0 (m)
Secondary 8 muon ke=29826.4 (x,y,z)= -1.34121 87.8284 0 (m)
Secondary 10 muon ke=38701.9 (x,y,z)= 132.715 -18.7082 0 (m)
Secondary 11 muon ke=5087.41 (x,y,z)= -146.695 -2.27502 0 (m)
Secondary 0 muon ke=6484.78 (x,y,z)= 111.293 132.752 0 (m)
Secondary 0 muon ke=338.54 (x,y,z)= -106.34 -112.565 0 (m)
Secondary 0 muon ke=22903.8 (x,y,z)= -18.7174 -65.2248 0 (m)
Secondary 0 muon ke=6178.05 (x,y,z)= -23.1484 120.274 0 (m)
Secondary 1 muon ke=4563.84 (x,y,z)= -110.441 57.3698 0 (m)
Secondary 2 muon ke=850.53 (x,y,z)= 141.385 -96.7454 0 (m)
Secondary 3 muon ke=665.194 (x,y,z)= 138.904 -3.7032 0 (m)
Secondary 0 muon ke=3455.63 (x,y,z)= -31.4154 -15.9068 0 (m)
Secondary 0 muon ke=11612.1 (x,y,z)= -45.6788 -129.255 0 (m)
Secondary 0 muon ke=15413.4 (x,y,z)= 145.853 -104.463 0 (m)
Secondary 0 muon ke=1288.7 (x,y,z)= -132.587 -129.767 0 (m)
Secondary 0 muon ke=174.062 (x,y,z)= -48.6725 -70.2234 0 (m)
Secondary 0 muon ke=26294.6 (x,y,z)= 128.284 33.0083 0 (m)
Secondary 0 muon ke=2147.45 (x,y,z)= 136.13 116.3 0 (m)
Secondary 0 muon ke=1063.35 (x,y,z)= -135.993 -126.865 0 (m)
Secondary 0 muon ke=3349.81 (x,y,z)= -34.8393 -112.098 0 (m)
Secondary 0 muon ke=105.606 (x,y,z)= -45.2119 -99.2905 0 (m)
Secondary 1 muon ke=7791.87 (x,y,z)= -71.0473 -37.4119 0 (m)
Secondary 3 muon ke=4119.6 (x,y,z)= 15.3758 64.2543 0 (m)
Secondary 4 muon ke=2425.61 (x,y,z)= -114.241 74.0593 0 (m)
Secondary 5 muon ke=25958.6 (x,y,z)= 67.0374 -142.218 0 (m)
Secondary 7 muon ke=399.284 (x,y,z)= 22.2237 -118.031 0 (m)
Secondary 8 muon ke=35175.1 (x,y,z)= 56.1796 96.3151 0 (m)
Secondary 9 muon ke=5210.05 (x,y,z)= 93.294 -106.322 0 (m)
Secondary 10 muon ke=3496.76 (x,y,z)= -32.1844 -120.667 0 (m)
Secondary 11 muon ke=1448.91 (x,y,z)= -12.4737 146.723 0 (m)
Secondary 12 muon ke=9347.82 (x,y,z)= 110.615 -97.7158 0 (m)
Secondary 13 muon ke=1714.16 (x,y,z)= 72.7593 -56.2529 0 (m)
Secondary 14 muon ke=3102.96 (x,y,z)= -87.6728 -24.4759 0 (m)
Secondary 15 muon ke=10633.8 (x,y,z)= 67.248 97.313 0 (m)
Secondary 0 muon ke=2071.86 (x,y,z)= 107.53 135.453 0 (m)
Secondary 0 muon ke=1211.36 (x,y,z)= -4.83841 36.2309 0 (m)
Secondary 0 muon ke=1346.14 (x,y,z)= -65.9572 -11.3659 0 (m)
Secondary 0 muon ke=962.036 (x,y,z)= 6.77927 -149.167 0 (m)
Secondary 0 muon ke=1911.96 (x,y,z)= -61.8099 34.8027 0 (m)
Secondary 0 muon ke=778.716 (x,y,z)= -81.896 -147.675 0 (m)
Secondary 1 muon ke=564.196 (x,y,z)= 56.0789 -113.801 0 (m)
Secondary 4 muon ke=280.766 (x,y,z)= -132.496 143.619 0 (m)
Secondary 0 muon ke=774.59 (x,y,z)= -27.909 -144.003 0 (m)
Secondary 0 muon ke=2846.72 (x,y,z)= 53.0028 -122.645 0 (m)
Secondary 0 muon ke=6651.38 (x,y,z)= 21.0794 -8.59196 0 (m)
Secondary 0 muon ke=1469.63 (x,y,z)= 8.88492 -50.7507 0 (m)
Secondary 0 muon ke=9445 (x,y,z)= -5.37856 15.4124 0 (m)
Secondary 0 muon ke=17012 (x,y,z)= -79.296 34.8302 0 (m)
Secondary 0 muon ke=2308.18 (x,y,z)= 56.3353 47.1162 0 (m)
Secondary 0 muon ke=744.577 (x,y,z)= -124.375 -85.8418 0 (m)
Secondary 1 muon ke=1574.81 (x,y,z)= -93.5778 -53.3233 0 (m)
Secondary 2 muon ke=15386.1 (x,y,z)= -1.48769 -21.7202 0 (m)
Secondary 3 muon ke=1865.88 (x,y,z)= -111.421 32.871 0 (m)
Secondary 0 muon ke=2863.69 (x,y,z)= -82.1615 -142.905 0 (m)
Secondary 0 muon ke=1141.82 (x,y,z)= 31.2414 -108.244 0 (m)
Secondary 0 muon ke=2777.29 (x,y,z)= 48.0683 100.636 0 (m)
Secondary 1 muon ke=1846.97 (x,y,z)= 47.1345 106.541 0 (m)
Secondary 2 muon ke=7189.62 (x,y,z)= -135.709 95.0243 0 (m)
Secondary 0 muon ke=1993.79 (x,y,z)= 80.8066 20.0723 0 (m)
Secondary 0 muon ke=1966.71 (x,y,z)= -41.8978 -78.5819 0 (m)
Secondary 1 muon ke=1939.81 (x,y,z)= 32.6055 -88.8996 0 (m)
Secondary 0 muon ke=5597.34 (x,y,z)= 25.0435 6.94406 0 (m)
Secondary 0 muon ke=2165.76 (x,y,z)= -78.527 -38.9682 0 (m)
Secondary 0 muon ke=2439.28 (x,y,z)= 57.0493 34.2717 0 (m)
Secondary 0 muon ke=1297.94 (x,y,z)= -5.68067 41.4035 0 (m)
Secondary 0 muon ke=2016.67 (x,y,z)= 101.964 52.3437 0 (m)
Secondary 0 muon ke=1948.2 (x,y,z)= 129.841 -90.1996 0 (m)
Secondary 0 muon ke=13679 (x,y,z)= 28.852 64.2086 0 (m)
Secondary 0 muon ke=2979.42 (x,y,z)= 106.358 -99.3729 0 (m)
Secondary 0 muon ke=2538.75 (x,y,z)= 1.81727 121.134 0 (m)
Secondary 0 muon ke=3797.4 (x,y,z)= 26.8196 146.21 0 (m)
Secondary 0 muon ke=12216 (x,y,z)= 73.9769 79.9918 0 (m)
Secondary 0 muon ke=1224.8 (x,y,z)= 36.533 122.489 0 (m)
Secondary 0 muon ke=1417.73 (x,y,z)= 71.7065 -137.568 0 (m)
Secondary 0 muon ke=2674.74 (x,y,z)= -6.95322 31.3147 0 (m)
Secondary 0 muon ke=15457.6 (x,y,z)= 9.25112 -117.701 0 (m)
Secondary 0 muon ke=1007.97 (x,y,z)= 127.488 -71.7614 0 (m)
Secondary 0 muon ke=2251.29 (x,y,z)= 86.2996 -72.3657 0 (m)
Secondary 1 muon ke=863.55 (x,y,z)= 72.1734 -91.344 0 (m)
Secondary 0 muon ke=3552.29 (x,y,z)= -125.648 -131.928 0 (m)
Secondary 0 muon ke=3355.8 (x,y,z)= 116.896 34.1985 0 (m)
Secondary 2 muon ke=2143.47 (x,y,z)= 14.799 -25.9315 0 (m)
Secondary 0 muon ke=9722.98 (x,y,z)= -68.1727 85.5946 0 (m)
Secondary 1 muon ke=1356.51 (x,y,z)= 105.25 -78.2065 0 (m)
Secondary 0 muon ke=2305.43 (x,y,z)= 57.5529 83.8826 0 (m)
Secondary 0 muon ke=2554.79 (x,y,z)= 81.5847 -148.819 0 (m)
Secondary 0 muon ke=1541.03 (x,y,z)= -63.4029 -29.0076 0 (m)
Secondary 0 muon ke=6067.56 (x,y,z)= -60.6473 41.5683 0 (m)
Secondary 0 muon ke=7698.26 (x,y,z)= -89.577 -13.0504 0 (m)
Secondary 0 muon ke=21324.5 (x,y,z)= 64.5564 136.423 0 (m)
Secondary 0 muon ke=1052.1 (x,y,z)= -6.54124 -130.298 0 (m)
Secondary 0 muon ke=3714.43 (x,y,z)= 59.0818 -135.022 0 (m)
Secondary 1 muon ke=6040.42 (x,y,z)= -91.7285 -111.815 0 (m)
Secondary 0 muon ke=3578.95 (x,y,z)= -102.833 -64.8128 0 (m)
Secondary 0 muon ke=2186.62 (x,y,z)= -81.1728 25.8491 0 (m)
Secondary 0 muon ke=1461.47 (x,y,z)= -146.274 21.1435 0 (m)
Secondary 0 muon ke=557.998 (x,y,z)= 45.926 -113.032 0 (m)
Secondary 0 muon ke=807.469 (x,y,z)= -49.112 80.1291 0 (m)
Secondary 0 muon ke=1152.23 (x,y,z)= -64.8128 65.3621 0 (m)
Secondary 0 muon ke=42381.7 (x,y,z)= 147.299 93.4038 0 (m)
Secondary 1 muon ke=826.074 (x,y,z)= -27.6527 72.0635 0 (m)
Secondary 0 muon ke=7485.53 (x,y,z)= 80.9897 70.9283 0 (m)
Secondary 0 muon ke=4634.03 (x,y,z)= -70.3699 -50.9155 0 (m)
Secondary 0 muon ke=301.598 (x,y,z)= -66.9276 32.2485 0 (m)
Secondary 0 muon ke=1444.3 (x,y,z)= -118.818 98.6405 0 (m)
Secondary 0 muon ke=899.901 (x,y,z)= 108.61 1.09402 0 (m)
Secondary 1 muon ke=7469.56 (x,y,z)= 10.13 -84.5418 0 (m)
Secondary 0 muon ke=3560.58 (x,y,z)= 38.2725 -42.4563 0 (m)
Secondary 0 muon ke=3658.94 (x,y,z)= 97.8074 -61.7092 0 (m)
Secondary 0 muon ke=83.5226 (x,y,z)= -67.2297 -31.6076 0 (m)
Secondary 1 muon ke=9936.68 (x,y,z)= -83.6904 -133.31 0 (m)
Secondary 0 muon ke=482.198 (x,y,z)= 13.7828 -135.215 0 (m)
Secondary 0 muon ke=718.689 (x,y,z)= -105.525 -73.7023 0 (m)
Secondary 0 muon ke=189.463 (x,y,z)= 104.555 41.5591 0 (m)
Secondary 0 muon ke=279.514 (x,y,z)= 115.513 -15.5955 0 (m)
Secondary 0 muon ke=7247.65 (x,y,z)= 133.338 84.6333 0 (m)
Secondary 0 muon ke=387.193 (x,y,z)= 70.1501 -83.727 0 (m)
Secondary 0 muon ke=6649.98 (x,y,z)= 56.9853 -124.421 0 (m)
Secondary 0 muon ke=753.207 (x,y,z)= -84.5235 -51.4007 0 (m)
Secondary 0 muon ke=18697.9 (x,y,z)= -9.7638 3.44686 0 (m)
Secondary 0 muon ke=419.173 (x,y,z)= 148.361 84.0291 0 (m)
Secondary 0 muon ke=4380.96 (x,y,z)= 30.802 120.933 0 (m)
Secondary 0 muon ke=133426 (x,y,z)= -5.19546 106.706 0 (m)
